rank,year,month, sales , spectator ,screen,showed,company
306,2015,2,13571515911,1715370,829,51744,cjenm
307,2007,2,10738218900,1708979,372,39989,cinema service
308,2008,7,11206382000,1706495,499,36581,showbox
309,2006,6,10825645300,1702765,366,29982,warner
310,2011,4,15985737000,1694562,496,45188,cjenm
311,2014,1,11688382888,1676040,679,36082,lotte
312,2009,9,12302961500,1670652,441,57300,showbox
313,2008,2,10943088000,1665268,350,43335,fox
314,2004,6,10800278500,1662141,174,22869,cj ent
315,2014,12,12498978959,1661230,615,28668,cjenm
316,2011,2,12051399000,1649407,292,57981,next
317,2012,7,12291969704,1648110,501,26899,fox
318,2012,8,12240964500,1646142,496,44959,etc
319,2012,6,12552588900,1635088,564,34295,cjenm
320,2008,8,10300791000,1634192,270,42722,etc
321,2014,9,12291081634,1624601,629,40158,cjenm
322,2011,2,12486540500,1623518,344,46841,fox
323,2011,4,12293078000,1622015,457,43331,universal
324,2006,2,10087308700,1621131,206,31939,etc
325,2014,3,11728460300,1619188,573,57492,etc
326,2012,2,11765293500,1612554,550,44753,cjenm
327,2013,5,12986689500,1607555,607,40563,cjenm
328,2007,5,10270110500,1604416,305,41511,cinema service
329,2008,1,10591149500,1600856,336,38306,cj ent
330,2013,1,15870581500,1593463,392,32740,fox
331,2014,3,13395159700,1593116,720,54902,warner
332,2006,9,9860797500,1590685,244,38934,cinema service
333,2015,3,12650526545,1588244,574,55936,showbox
334,2008,12,10393857500,1576492,469,37088,fox
335,2008,7,10200428000,1572064,447,32795,showbox
336,2010,5,11560588500,1570681,544,41953,universal
337,2006,3,9785168000,1567514,298,32939,showbox
338,2006,2,9693558300,1563579,243,30494,showbox
339,2003,12,9905242500,1559136,51,13461,cinema service
340,2012,10,11241013000,1552055,553,42989,cjenm
341,2004,12,9862589000,1549107,221,21524,cj ent
342,2010,9,11629780500,1546132,412,46186,cj ent
343,2008,1,10136738500,1544486,314,37679,etc
344,2005,3,9590663500,1533225,214,32277,showbox
345,2009,1,10289635500,1532632,375,35055,cj ent
346,2005,6,9846423390,1524898,243,29871,cj ent
347,2008,12,9520755500,1518188,380,37853,showbox
348,2009,2,10086067500,1517096,393,50216,showbox
349,2013,4,11165841500,1515356,634,47871,universal
350,2007,9,9807862000,1514708,397,46725,cinema service
351,2014,12,12448333926,1511845,865,43784,fox
352,2007,2,9008143000,1507970,310,41977,etc
353,2011,12,11220408500,1507084,413,41010,lotte
354,2004,6,9632558500,1506217,198,18175,sony
355,2008,1,9807963501,1479859,338,31877,etc
356,2014,8,11707382519,1475582,584,33491,next
357,2015,4,11989400678,1472006,551,45129,etc
358,2008,5,9236619000,1468903,604,43016,sony
359,2006,12,8851336500,1468191,372,28923,showbox
360,2005,5,9325899000,1464794,272,28466,fox
361,2011,11,10715439000,1462561,636,43211,next
362,2010,8,14319338600,1458865,393,28615,sony
363,2012,8,10856334000,1457406,486,26438,cjenm
364,2013,5,10581074143,1445217,562,36008,warner
365,2008,12,9346765000,1439506,320,39988,lotte
366,2013,2,10825703000,1438056,459,33055,fox
367,2014,5,10776965900,1397526,554,38894,disney
368,2008,12,9293599000,1395498,241,32785,warner
369,2005,7,8663925000,1392684,298,30153,cj ent
370,2014,2,10303127700,1373873,561,43288,lotte
371,2007,6,9119810300,1371214,271,32636,warner
372,2010,8,13854892500,1371164,399,32416,cj ent
373,2006,10,8286577600,1366933,209,31247,fox
374,2014,11,10367640686,1362114,590,37155,disney
375,2008,12,8826390000,1361242,345,30930,next
376,2011,11,11726682000,1338411,525,46169,next
377,2009,11,10146600500,1332819,308,37295,warner
378,2008,8,8289679500,1325834,347,32819,sony
379,2014,10,10607703908,1321751,477,46483,universal
380,2014,7,11098239184,1311190,539,22417,disney
381,2004,12,8352469789,1310604,213,15778,cinema service
382,2011,3,9799358000,1307873,441,44241,sony
383,2005,9,7831016503,1282348,134,19793,warner
384,2009,4,8408135000,1280734,412,33893,fox
385,2011,5,9640238500,1277690,403,38744,etc
386,2008,1,7385195000,1238064,271,27721,cj ent
387,2005,5,7815821000,1237245,247,26660,fox
388,2012,9,9024766000,1231024,479,22087,sony
389,2009,1,7541496500,1230470,381,34347,cj ent
390,2012,8,8958236000,1219637,448,27089,sony
391,2008,4,7872763500,1211890,394,37736,cinema service
392,2013,8,9017994500,1207732,588,31515,disney
393,2010,9,14533948000,1190008,337,37849,sony
394,2010,12,11168877200,1172586,493,33531,fox
395,2004,12,7513779500,1170726,145,16816,sony
396,2013,3,8361708124,1169839,477,37960,cjenm
397,2006,12,7345919000,1165157,249,21974,etc
398,2012,1,9784305000,1149628,398,27236,warner
399,2008,3,7443923500,1134364,362,38983,warner
400,2013,11,7863572734,1127329,630,33697,lotte
